ID,elevation,aspect,slope,hor_hydro,ver_hydro,hor_road,hillsd_9am,hillsd_noon,hillsd_3pm,hor_fire,cover_type,soil,wild,twild
132,2667,22,21,120,65,1981,202,191,119,7004,2,29,1,w1
133,2620,11,24,60,27,1651,186,183,125,6804,2,29,1,w1
134,2785,167,11,42,7,3871,229,244,146,5430,2,30,1,w1
135,2772,162,29,192,105,3181,233,232,107,6120,2,30,1,w1
136,2500,175,3,0,0,631,221,240,156,5687,2,18,1,w1
137,2663,123,38,67,32,2703,251,181,0,6600,2,30,1,w1
138,2788,336,13,30,7,3874,190,222,170,5431,2,29,1,w1
139,2663,321,12,0,0,1839,188,228,179,6817,2,12,1,w1
140,2595,113,5,0,0,376,230,234,138,6011,2,29,1,w1
141,2732,313,9,190,92,2439,195,233,178,6871,1,12,1,w1
142,2525,31,11,60,1,492,217,217,134,5655,2,29,1,w1
143,2900,4,10,300,38,5435,207,220,151,3873,2,16,1,w1
144,2814,148,19,42,10,4207,242,235,114,5102,2,30,1,w1
145,2814,45,1,170,33,3698,219,236,154,5612,2,29,1,w1
146,2873,42,7,228,19,5077,221,225,139,4234,2,30,1,w1
147,2686,355,5,127,24,1795,211,230,157,6686,1,12,1,w1
148,2551,5,10,30,6,384,208,221,150,5666,2,29,1,w1
149,2722,350,24,85,42,3018,169,192,155,6305,2,29,1,w1
150,2854,149,18,60,4,4843,241,236,118,4478,2,30,1,w1
151,2837,150,9,30,0,4724,232,240,139,4598,2,30,1,w1
152,2616,303,10,108,8,886,193,235,183,6087,2,18,1,w1
153,2939,0,5,153,13,5384,212,230,156,3941,2,29,1,w1
154,2737,128,14,85,14,2402,242,231,115,6936,1,12,1,w1
155,2827,59,17,297,101,3654,230,203,101,5680,2,12,1,w1
156,2752,7,18,170,69,3000,196,202,140,6339,1,29,1,w1
157,2610,132,12,42,9,708,240,233,121,5913,2,18,1,w1
158,2847,331,12,150,39,4164,192,225,172,5173,2,29,1,w1
159,2840,29,7,323,42,3747,218,224,142,5592,2,12,1,w1
160,2749,305,21,95,63,3123,156,223,205,6220,1,29,1,w1
161,2762,349,19,170,72,3034,183,206,159,6310,1,29,1,w1
162,2711,53,5,108,9,2089,223,229,142,6742,1,12,1,w1
163,2701,107,6,150,36,1914,231,232,134,6626,2,12,1,w1
164,2745,63,11,182,22,2536,230,218,121,6821,1,12,1,w1
165,2655,344,15,30,8,1546,189,216,164,6360,2,29,1,w1
166,2834,0,12,30,3,4559,202,217,152,4788,2,16,1,w1
167,2744,58,12,85,21,2424,228,215,118,6919,1,12,1,w1
168,2652,115,5,120,0,1289,229,235,140,6134,2,12,1,w1
169,2637,45,3,67,5,1128,220,232,149,6032,2,12,1,w1
170,2975,25,16,300,2,6266,210,204,126,3097,2,20,1,w1
171,2870,90,5,283,118,3852,227,232,139,5511,2,12,1,w1
172,2642,7,6,108,0,1168,213,229,153,6024,2,12,1,w1
173,2936,45,13,120,17,5384,223,210,119,4005,2,29,1,w1
174,2824,131,29,124,72,3754,251,210,64,5642,2,30,1,w1
175,2870,315,14,85,26,4735,181,228,186,4663,2,24,1,w1
176,2835,168,14,210,45,4409,230,245,143,4990,2,30,1,w1
177,3037,85,9,400,10,6613,233,225,124,2809,2,29,1,w1
178,2955,51,12,182,36,5482,226,213,119,3926,2,29,1,w1
179,2762,90,11,277,39,2572,237,223,116,6809,2,12,1,w1
180,2630,24,6,270,12,1061,217,226,146,5725,2,29,1,w1
181,2880,123,19,67,17,5041,248,222,95,4375,2,29,1,w1
182,2526,12,18,30,3,916,200,202,135,5131,2,16,1,w1
183,2524,339,12,30,13,1041,195,223,167,5057,2,16,1,w1
184,2922,135,17,240,49,5282,245,230,108,4143,2,29,1,w1
185,2648,41,10,330,5,1211,221,219,132,5759,2,29,1,w1
186,2916,135,18,228,43,5287,245,229,106,4148,2,29,1,w1
187,2765,343,19,0,0,3784,180,208,166,5660,2,30,1,w1
188,2824,34,5,255,85,3347,219,228,146,6106,1,12,1,w1
189,2703,42,6,300,20,1798,221,227,142,6154,2,12,1,w1
190,2870,124,18,192,23,4731,248,223,97,4715,2,24,1,w1
191,2801,336,26,67,39,3674,152,194,175,5783,1,29,1,w1
192,2827,247,12,170,59,3500,195,249,191,5961,1,29,1,w1
193,2630,49,5,360,40,1074,222,228,141,5559,2,29,1,w1
194,3004,35,4,127,16,5978,219,231,148,3485,2,29,1,w1
195,2642,55,9,361,14,1211,226,221,128,5633,2,29,1,w1
196,2859,119,26,150,62,4742,253,208,66,4725,2,30,1,w1
197,2998,93,9,234,16,5899,234,227,125,3587,2,29,1,w1
198,2968,113,4,391,82,5632,226,236,145,3850,2,29,1,w1
199,2778,87,5,379,35,2866,227,232,140,6657,2,12,1,w1
200,2798,133,10,30,1,4637,236,236,130,4854,2,30,1,w1
201,2786,27,25,0,0,4228,200,177,103,5267,2,30,1,w1
202,3037,356,7,85,10,6471,209,227,157,3055,2,29,1,w1
203,2699,47,9,313,17,1740,223,220,131,5900,2,12,1,w1
204,2926,142,17,170,43,5442,242,234,115,4075,2,29,1,w1
205,2734,57,8,234,27,2162,226,223,131,6197,2,12,1,w1
206,2859,319,22,124,54,4518,157,213,193,5025,1,29,1,w1
207,2573,13,8,127,22,1120,213,225,149,4964,2,30,1,w1
208,2745,90,6,67,2,2684,230,230,134,6518,2,12,1,w1
209,2746,67,8,277,22,2285,228,224,129,6194,2,12,1,w1
210,3168,338,3,339,19,6074,214,235,160,1095,1,29,1,w1
211,2922,80,16,201,26,5555,240,209,94,4018,2,29,1,w1
212,2890,103,8,60,7,5408,234,230,127,4163,2,29,1,w1
213,2561,96,9,30,11,1194,234,228,125,5099,2,16,1,w1
214,3060,69,6,0,0,6856,226,228,136,2781,2,20,1,w1
215,3021,90,8,255,7,6148,232,228,129,3453,2,29,1,w1
216,2863,90,5,443,91,3596,228,231,137,6013,1,12,1,w1
217,2867,100,17,256,75,4434,246,215,93,5167,1,12,1,w1
218,2808,66,9,430,30,3116,229,221,124,6555,2,12,1,w1
219,2772,61,12,150,29,2817,230,214,115,6505,2,12,1,w1
220,2840,302,14,295,48,4079,179,233,193,5561,1,29,1,w1
221,3067,125,8,90,12,6878,234,235,133,2831,2,29,1,w1
222,2593,2,6,150,26,1362,211,228,154,4914,2,12,1,w1
223,2804,135,2,30,0,5081,223,238,151,4595,2,29,1,w1
224,2903,308,27,170,95,4793,138,213,210,4883,1,29,1,w1
225,2772,79,15,90,21,2821,239,211,99,6381,2,12,1,w1
226,2768,33,5,247,10,2513,219,229,147,6113,2,12,1,w1
227,2978,166,22,124,33,5872,232,241,128,3834,2,30,1,w1
228,2769,295,5,124,11,2630,206,238,172,6181,2,29,1,w1
229,3096,126,12,514,52,6031,240,231,119,1433,1,29,1,w1
230,3086,34,7,0,0,6903,219,225,142,2728,2,20,1,w1
231,2922,358,16,277,121,4763,192,208,151,4966,2,12,1,w1
232,2722,81,7,335,33,2188,230,227,129,5707,2,12,1,w1
233,3090,214,5,577,58,6002,215,245,166,1499,1,20,1,w1
234,3152,188,5,127,20,6615,220,244,159,2148,2,29,1,w1
235,2840,78,21,120,26,5345,242,198,77,4402,2,29,1,w1
236,2519,118,13,30,6,1436,241,228,115,4482,2,18,1,w1
237,2514,5,11,30,6,1318,205,218,149,4432,2,16,1,w1
238,3018,104,13,0,0,6512,241,223,110,3301,2,30,1,w1
239,2952,95,10,30,3,6018,237,225,118,3766,1,24,1,w1
240,2698,349,4,190,25,1963,213,233,158,5396,2,29,1,w1
241,3123,189,10,85,17,5347,221,247,160,1207,1,29,1,w1
242,3139,187,13,42,7,6542,221,249,159,2143,2,29,1,w1
243,3155,79,15,67,26,5206,239,211,98,1115,1,29,1,w1
244,2840,178,16,242,39,3475,226,247,149,6389,2,30,1,w1
245,2675,147,17,108,31,1889,241,236,117,5213,2,29,1,w1
246,3080,186,7,607,72,5889,222,246,158,1604,1,29,1,w1
247,2949,320,4,361,148,4839,210,236,164,4981,2,29,1,w1
248,3139,193,13,511,7,6220,218,250,164,1864,2,29,1,w1
249,2988,60,8,175,12,6194,226,224,132,3677,1,24,1,w1
250,2959,353,11,90,23,5848,201,221,158,4006,2,24,1,w1
251,2844,116,7,256,7,3716,233,233,133,6170,2,12,1,w1
252,2785,105,7,0,0,3139,232,232,133,6373,2,20,1,w1
253,2630,120,9,175,26,1703,236,232,127,4795,2,12,1,w1
254,3149,155,9,335,17,6322,231,241,142,1992,2,29,1,w1
255,2785,347,17,60,7,3029,186,211,162,6236,2,29,1,w1
256,2736,112,4,268,33,2355,227,235,142,5580,2,12,1,w1
257,2520,53,10,242,7,1189,226,218,126,4207,2,18,1,w1
258,3136,160,8,150,4,6359,228,242,146,2148,1,29,1,w1
259,2877,91,26,150,50,5474,249,190,53,4429,2,29,1,w1
260,2847,45,11,162,10,3731,223,216,126,6223,2,20,1,w1
261,3175,116,13,212,52,5033,242,227,112,1271,1,29,1,w1
262,2719,120,14,85,23,2263,244,227,109,5346,2,29,1,w1
263,3136,25,13,108,20,5083,213,212,133,1409,1,29,1,w1
264,3037,162,20,301,23,5484,235,241,127,1742,2,29,1,w1
265,3024,192,10,285,16,5497,219,248,162,1776,2,29,1,w1
266,3096,171,12,30,12,6244,228,245,147,2340,1,29,1,w1
267,3060,11,14,272,26,6657,205,212,142,3254,2,29,1,w1
268,2612,334,13,120,23,1734,189,222,172,4468,2,29,1,w1
269,3086,207,14,404,36,6025,210,252,175,2054,2,29,1,w1
270,3100,144,14,60,7,6199,239,237,124,2324,1,29,1,w1
271,2867,135,13,108,20,3907,240,234,120,6149,2,30,1,w1
272,2847,110,17,85,10,3829,246,220,97,6235,2,30,1,w1
273,2827,0,9,30,3,3597,206,222,154,6494,2,29,1,w1
274,2697,27,6,175,19,2177,217,226,145,5030,2,12,1,w1
275,3188,306,15,127,16,4803,177,230,193,1366,1,29,1,w1
276,2759,139,9,95,16,2801,235,237,133,5712,2,12,1,w1
277,2756,135,11,67,13,2822,237,235,127,5693,2,29,1,w1
278,2546,57,8,457,9,1041,226,223,131,3985,2,18,1,w1
279,3083,193,13,150,13,6061,218,250,163,2271,2,20,1,w1
280,2913,112,8,234,43,4347,235,231,128,5750,2,12,1,w1
281,2715,358,11,30,7,2502,202,219,154,5287,2,12,1,w1
282,2643,343,23,30,14,2033,168,198,165,4606,2,20,1,w1
283,2602,45,16,402,25,1365,223,204,111,4173,2,29,1,w1
284,2873,149,18,60,3,4097,240,236,119,6043,2,30,1,w1
285,3182,300,8,182,10,4629,199,237,178,1471,1,19,1,w1
286,3024,234,14,404,65,5771,195,252,192,2100,2,29,1,w1
287,2906,119,11,192,26,4375,239,230,120,5770,2,30,1,w1
288,2733,345,17,42,12,2605,184,211,164,5314,2,12,1,w1
289,2670,1,18,127,39,1928,192,203,146,4502,2,29,1,w1
290,3014,202,11,258,46,5626,215,250,168,2069,1,29,1,w1
291,3034,29,5,480,0,6520,218,229,147,3470,2,20,1,w1
292,3037,15,7,570,3,6404,214,226,149,3797,2,29,1,w1
293,2877,133,28,95,46,5588,251,212,68,4562,2,30,1,w1
294,2952,56,5,400,125,5035,224,228,140,5109,1,12,1,w1
295,2857,37,7,134,20,3794,220,224,140,6432,2,29,1,w1
296,3077,135,3,636,51,6212,224,238,150,2951,2,29,1,w1
297,2844,103,6,228,7,3687,231,232,134,6408,2,12,1,w1
298,2978,208,11,95,3,5441,212,251,173,2077,1,23,1,w1
299,3073,216,12,300,19,6053,208,251,178,2701,2,29,1,w1
300,2962,18,9,577,43,4897,213,220,144,5298,1,12,1,w1
301,3037,29,17,60,16,5076,212,201,120,1939,1,29,1,w1
302,3024,26,20,30,6,5131,207,193,116,1992,1,29,1,w1
303,3050,233,10,0,0,5894,204,249,182,2439,1,29,1,w1
304,2766,43,8,85,4,2992,222,223,136,5586,2,12,1,w1
305,3004,61,15,30,3,5201,231,207,104,2102,1,29,1,w1
306,3070,164,6,685,36,6232,226,242,150,3212,2,29,1,w1
307,3067,186,9,671,33,6244,222,247,159,3234,2,29,1,w1
308,2926,151,26,212,82,5994,242,230,101,4272,2,30,1,w1
309,2880,7,12,42,3,4265,205,215,147,6018,2,20,1,w1
310,2713,322,11,150,45,2023,193,229,176,4484,2,12,1,w1
311,3109,95,9,277,65,4852,234,227,124,1838,1,29,1,w1
312,3037,225,10,30,3,5836,207,250,179,2490,1,20,1,w1
313,2965,45,6,300,56,4698,222,226,139,5582,2,12,1,w1
314,2679,357,8,30,3,2278,207,226,156,4646,2,20,1,w1
315,2719,52,6,67,6,1929,223,227,140,4403,2,12,1,w1
316,2704,49,14,242,19,1613,225,208,114,4194,2,29,1,w1
317,2975,343,10,485,148,5085,200,225,163,5209,2,12,1,w1
318,2863,17,10,228,23,3798,212,219,144,6354,2,12,1,w1
319,2535,84,7,450,9,768,231,227,129,3676,2,18,1,w1
320,3050,164,9,277,19,5856,228,243,147,2706,1,29,1,w1
321,2623,65,12,576,97,1142,232,215,113,3870,2,29,1,w1
322,2968,256,4,30,3,5328,210,242,170,2259,1,16,1,w1
323,2982,346,9,408,158,5219,203,227,162,5126,2,24,1,w1
324,2827,19,14,150,36,3441,208,209,135,5891,2,29,1,w1
325,2555,68,8,408,29,860,229,223,127,3692,2,18,1,w1
326,3142,348,8,424,101,4702,205,227,160,1911,1,20,1,w1
327,2787,53,7,0,0,3144,224,225,135,5503,2,20,1,w1
328,2968,357,15,85,3,5264,196,212,153,2313,1,29,1,w1
329,3001,199,12,124,23,5624,215,250,168,2498,1,29,1,w1
330,3050,195,13,808,16,6119,217,250,165,3421,2,29,1,w1
331,2985,126,27,242,131,6256,253,210,67,4186,2,30,1,w1
332,2847,328,15,95,33,3615,183,222,178,6010,2,29,1,w1
333,2526,111,8,360,0,576,234,231,129,3503,2,18,1,w1
334,2502,123,10,277,23,469,237,233,126,3443,2,18,1,w1
335,3182,146,5,560,10,4395,227,239,146,1846,1,29,1,w1
336,3024,197,10,424,42,5768,218,249,165,2856,1,29,1,w1
337,3057,199,10,616,25,5857,217,249,166,3023,2,29,1,w1
338,2715,335,8,30,6,1860,202,230,166,4248,2,23,1,w1
339,3024,130,11,797,105,5917,238,234,124,3205,2,29,1,w1
340,3044,225,6,853,10,6091,211,246,172,3505,2,29,1,w1
341,2709,94,14,270,18,1412,241,219,105,3936,2,29,1,w1
342,3152,323,16,553,111,4569,177,221,183,2002,1,20,1,w1
343,2877,325,16,124,27,5879,178,220,181,4615,2,24,1,w1
344,2730,111,3,30,1,2773,225,236,145,4882,2,12,1,w1
345,2638,75,12,484,97,1142,234,217,113,3753,2,29,1,w1
346,2985,229,14,42,0,5544,198,252,189,2670,1,29,1,w1
347,2880,125,25,85,26,6193,252,213,72,4352,2,30,1,w1
348,3018,304,5,841,102,5945,206,237,171,3458,2,20,1,w1
349,2778,75,11,170,36,3029,234,218,115,5058,2,29,1,w1
350,3126,45,16,390,128,4849,223,203,110,2331,1,29,1,w1
351,3081,40,24,351,116,4968,214,179,88,2431,1,29,1,w1
352,3011,220,8,782,92,5892,211,248,174,3437,2,20,1,w1
353,2982,97,14,430,63,5042,242,219,104,5528,2,12,1,w1
354,2655,42,20,426,88,1154,219,191,99,3697,2,29,1,w1
355,3004,204,3,711,85,5827,218,242,161,3396,2,20,1,w1
356,2955,218,18,67,6,5421,197,254,188,2766,1,23,1,w1
357,3060,121,14,454,193,6133,243,228,112,3941,2,29,1,w1
358,2867,152,16,30,4,6324,238,238,125,4345,2,30,1,w1
359,2949,54,8,258,30,4894,225,223,131,5742,1,20,1,w1
360,2837,20,13,60,10,3446,210,211,136,5476,2,12,1,w1
361,2708,156,3,218,16,1954,223,239,152,4179,2,23,1,w1
362,3047,125,17,421,180,6122,246,225,101,3983,2,29,1,w1
363,2712,193,4,190,20,1802,219,243,160,4052,2,12,1,w1
364,3105,51,23,424,137,4901,224,184,82,2546,1,29,1,w1
365,2715,27,3,30,0,2491,218,232,151,4540,2,20,1,w1
366,2863,19,9,0,0,4036,214,222,144,6079,2,20,1,w1
367,2936,329,13,192,76,6131,187,223,175,4635,2,24,1,w1
368,2721,8,7,210,5,2310,212,227,152,4364,2,12,1,w1
369,3228,11,10,738,210,4399,210,221,147,2325,1,29,1,w1
370,2978,356,10,313,59,4876,204,222,156,5917,1,12,1,w1
371,2697,117,6,90,2,2010,231,234,136,4119,2,23,1,w1
372,3205,297,11,907,187,4213,190,237,186,2278,1,23,1,w1
373,3231,337,5,808,213,4320,208,232,163,2325,1,29,1,w1
374,2955,19,10,95,13,5181,213,219,142,2837,1,16,1,w1
375,2695,165,11,60,5,1801,230,244,144,3946,2,12,1,w1
376,2932,295,18,212,52,6225,167,232,205,4638,2,24,1,w1
377,2968,321,22,297,98,6119,158,213,191,4736,2,24,1,w1
378,2991,243,10,616,75,5662,201,248,184,3717,2,29,1,w1
379,3001,227,9,684,85,5718,208,248,177,3799,2,20,1,w1
380,2890,323,9,95,23,4116,197,231,173,5984,2,29,1,w1
381,2883,73,5,228,28,3804,226,230,139,5586,2,29,1,w1
382,2747,109,9,42,7,2673,235,231,127,4572,2,29,1,w1
383,3137,53,17,228,20,4795,227,201,102,2754,1,29,1,w1
384,2922,72,3,0,0,5173,223,233,146,3037,1,16,1,w1
385,2972,167,12,408,59,5517,230,244,145,3565,2,29,1,w1
386,2782,324,13,85,19,3004,187,226,179,4826,2,24,1,w1
387,2700,186,2,150,25,1239,219,240,157,3492,2,12,1,w1
388,2942,72,10,124,16,5115,231,221,122,3020,1,16,1,w1
389,3021,344,11,824,102,5460,198,223,164,5464,2,12,1,w1
390,2799,80,23,60,22,3245,243,193,68,5012,2,29,1,w1
391,2679,30,4,0,0,1541,218,231,149,3670,2,20,1,w1
392,2680,270,1,0,0,1511,215,239,161,3650,2,20,1,w1
393,2624,98,29,108,32,1065,252,184,39,3355,2,29,1,w1
394,3228,0,12,1099,210,4021,202,217,152,2402,1,23,1,w1
395,3234,122,4,551,62,4397,228,236,143,2568,1,29,1,w1
396,2982,225,7,509,66,5555,211,247,173,3745,2,29,1,w1
397,3027,0,9,658,108,5275,207,223,154,5686,2,12,1,w1
398,2691,235,13,67,16,1307,197,251,190,3485,2,12,1,w1
399,2544,43,13,210,18,437,222,212,122,2967,2,29,1,w1
400,3063,14,20,30,7,4933,197,194,128,2936,1,29,1,w1
401,2932,67,14,108,10,5071,233,211,107,3097,1,16,1,w1
402,2903,358,8,351,48,3907,208,226,155,5555,2,29,1,w1
403,2614,72,27,42,7,1048,239,177,52,3289,2,29,1,w1
404,2982,242,11,552,63,5571,198,249,188,3889,2,29,1,w1
405,3008,107,11,541,89,4968,239,226,116,6081,2,12,1,w1
406,2890,34,3,42,0,4328,219,232,149,6053,2,12,1,w1
407,2729,95,10,95,8,2415,236,225,120,4266,2,12,1,w1
408,2698,33,7,90,11,1820,219,226,143,3802,2,23,1,w1
409,2949,91,11,295,76,5891,237,223,115,4375,2,29,1,w1
410,2781,49,16,0,0,2776,225,203,108,4543,2,20,1,w1
